way_id,tower_count,voltage_kV,line_circuits,method
159113596,280,220,2.0,from_line_circuits
338856348,198,220,2.0,from_line_circuits
191811504,191,220,2.0,from_line_circuits
375922074,120,220,2.0,from_line_circuits
375922072,114,220,2.0,from_line_circuits
338850183,106,220,2.0,from_line_circuits
338900793,93,220,2.0,from_line_circuits
338847619,89,220,2.0,from_line_circuits
375907989,86,220,2.0,from_line_circuits
57403743,61,220,2.0,from_line_circuits
159196537,61,220,2.0,from_line_circuits
338856358,52,220,2.0,from_line_circuits
375908007,46,220,1.0,from_cables_div3
56984364,38,220,2.0,from_line_circuits
375916023,35,220,2.0,from_line_circuits
1155116743,22,220,1.0,from_cables_div3
186284338,20,220,1.0,from_cables_div3
57384504,15,220,1.0,from_cables_div3
159158472,11,220,1.0,from_cables_div3
159158474,10,220,1.0,from_cables_div3
375924540,8,220,1.0,from_cables_div3
338947392,7,220,2.0,from_line_circuits
375908001,5,220,1.0,from_cables_div3
375908003,5,220,1.0,from_cables_div3
191811525,4,220,2.0,from_line_circuits
191811526,4,220,2.0,from_line_circuits
338902386,4,220,1.0,from_cables_div3
338902384,3,220,1.0,from_cables_div3
375916025,3,220,2.0,from_line_circuits
375916028,3,220,1.0,from_cables_div3
375924500,3,220,1.0,from_cables_div3
375924537,3,220,1.0,from_cables_div3
1155116740,3,220,1.0,from_cables_div3
1155116741,3,220,1.0,from_cables_div3
57400878,2,220,1.0,from_cables_div3
57400898,2,220,1.0,from_cables_div3
158853500,2,220,1.0,from_cables_div3
159158468,2,220,1.0,from_cables_div3
159158470,2,220,1.0,from_cables_div3
159158471,2,220,1.0,from_cables_div3
188459869,2,220,1.0,from_cables_div3
191960147,2,220,1.0,from_cables_div3
338850179,2,220,1.0,from_cables_div3
338852154,2,220,1.0,from_cables_div3
338853925,2,220,1.0,from_cables_div3
338853931,2,220,1.0,from_cables_div3
338856354,2,220,1.0,from_cables_div3
338856365,2,220,1.0,from_cables_div3
338900786,2,220,1.0,from_cables_div3
338900797,2,220,1.0,from_cables_div3
338901264,2,220,1.0,from_cables_div3
338901273,2,220,1.0,from_cables_div3
338901275,2,220,1.0,from_cables_div3
338901278,2,220,1.0,from_cables_div3
338902393,2,220,1.0,from_cables_div3
338970635,2,220,1.0,from_cables_div3
375907990,2,220,1.0,from_cables_div3
375907991,2,220,1.0,from_cables_div3
375907992,2,220,1.0,from_cables_div3
375907993,2,220,1.0,from_cables_div3
375907994,2,220,1.0,from_cables_div3
375907995,2,220,1.0,from_cables_div3
375908002,2,220,,unknown
375908004,2,220,1.0,from_cables_div3
375908005,2,220,1.0,from_cables_div3
375908006,2,220,1.0,from_cables_div3
375916024,2,220,1.0,from_cables_div3
375916026,2,220,1.0,from_cables_div3
375916029,2,220,1.0,from_cables_div3
375916030,2,220,1.0,from_cables_div3
375916032,2,220,1.0,from_cables_div3
375916033,2,220,1.0,from_cables_div3
375916034,2,220,1.0,from_cables_div3
375922073,2,220,1.0,from_cables_div3
375924499,2,220,1.0,from_cables_div3
375924523,2,220,1.0,from_cables_div3
375924524,2,220,1.0,from_cables_div3
375924525,2,220,1.0,from_cables_div3
375924529,2,220,1.0,from_cables_div3
375924530,2,220,1.0,from_cables_div3
375924532,2,220,1.0,from_cables_div3
375924534,2,220,1.0,from_cables_div3
375924535,2,220,1.0,from_cables_div3
375924536,2,220,1.0,from_cables_div3
375924541,2,220,1.0,from_cables_div3
1063306065,2,220,1.0,from_cables_div3
1098035129,2,220,,unknown
1155116742,2,220,,unknown
1155116747,2,220,,unknown
53632569,1,220,1.0,from_cables_div3
53635328,1,220,1.0,from_cables_div3
53635329,1,220,1.0,from_cables_div3
53635330,1,220,1.0,from_cables_div3
57380333,1,220,1.0,from_cables_div3
